class,n_train,n_val,n_test,f1,f1_ci_lower,f1_ci_upper,recall,recall_ci_lower,recall_ci_upper,precision,support
Chirp,11,1,7,0.47058823529411764,0.125,0.7272727272727274,0.5714285714285714,0.16666666666666666,1.0,0.4,7
Wandering_Line,30,2,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6
Helix,33,5,14,0.04938271604938272,0.011764705882352943,0.10062893081761005,0.2857142857142857,0.0625,0.5455681818181801,0.02702702702702703,14
Light_Modulation,142,30,66,0.691358024691358,0.6063749194068344,0.7682926829268293,0.8484848484848485,0.75,0.9310462919225316,0.5833333333333334,66
Paired_Doves,216,28,64,0.098744769874477,0.07620620136284828,0.12283737024221453,0.921875,0.8513513513513513,0.9827586206896551,0.052166224580017684,64
Violin_Mode,274,70,397,0.6830015313935682,0.6403614226040032,0.7237053362719561,0.5617128463476071,0.5126039863181453,0.6109818350570141,0.87109375,397
1080Lines,341,1,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6
Scratchy,558,20,76,0.5034013605442176,0.39999999999999997,0.5986394557823129,0.4868421052631579,0.37333333333333335,0.6,0.5211267605633803,76
Repeating_Blips,1061,135,347,0.7702182284980744,0.7367021276595744,0.8021259136894158,0.8645533141210374,0.8273605141206891,0.8997216371885167,0.6944444444444444,347
Air_Compressor,1361,24,47,0.15384615384615385,0.053315789473684365,0.25742574257425743,0.14893617021276595,0.05128205128205128,0.2564102564102564,0.1590909090909091,47
Power_Line,1582,16,56,0.23529411764705882,0.1308411214953271,0.3356643356643357,0.25,0.1428068410462781,0.3684412955465584,0.2222222222222222,56
1400Ripples,2428,8,33,0.7999999999999999,0.6933333333333334,0.888888888888889,0.9696969696969697,0.8974358974358975,1.0,0.6808510638297872,33
Low_Frequency_Lines,2853,717,1743,0.701435213260562,0.686893793734961,0.7157940059396699,0.9954102122776821,0.9919907320689668,0.9982905982905983,0.5415106117353309,1743
Whistle,6299,1506,3689,0.9627567925778662,0.9583605780354787,0.9670591427777613,0.9845486581729466,0.9804353666718583,0.9884003841483557,0.941908713692946,3689
Blip,7156,1062,2105,0.9492682926829268,0.9421691684864564,0.9558471344319244,0.9244655581947744,0.912895335220415,0.9355907896062441,0.9754385964912281,2105
No_Glitch,11568,167,402,0.9363867684478373,0.9182684748427673,0.953247360116519,0.9154228855721394,0.8870578337104073,0.9418886198547215,0.9583333333333334,402
Koi_Fish,11950,1077,2503,0.9565040650406504,0.9506196872949643,0.9622047952614202,0.9400719137035557,0.9307442928865385,0.9492369449441509,0.9735208936698386,2503
Extremely_Loud,13469,1438,3317,0.9858518964479229,0.9829509379863517,0.9885792971978385,0.9873379559843232,0.9834486397931134,0.9909447630546333,0.9843703035767959,3317
Blip_Low_Frequency,13659,1679,2763,0.9381939304219097,0.9313668214039301,0.9447086308824343,0.9174809989142236,0.907510374401637,0.9274074074074075,0.9598636879969709,2763
Low_Frequency_Burst,19834,1059,2397,0.9914884783059995,0.988802501252648,0.993917383308829,0.9962453066332916,0.993619736282433,0.9983693436608235,0.9867768595041322,2397
Tomte,30403,4659,5651,0.9630025853615047,0.9594022527307977,0.966551546111328,0.9557600424703593,0.950423392559904,0.961020612171687,0.9703557312252964,5651
Fast_Scattering,34555,3001,18998,0.957280385078219,0.9551633724997405,0.9593883668618671,0.9212022318138752,0.917276675821925,0.925021133596203,0.9962996698166914,18998
Scattered_Light,68160,32139,4158,0.8108698620783832,0.8009213056016532,0.8207472382315477,0.714045214045214,0.6999520919540434,0.7276771159682861,0.9380726698262243,4158
