class,n_train,n_val,n_test,f1,f1_ci_lower,f1_ci_upper,recall,recall_ci_lower,recall_ci_upper,precision,support
Chirp,11,0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7
Wandering_Line,30,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6
Helix,33,0,14,0.10526315789473682,0.0,0.3157894736842105,0.07142857142857142,0.0,0.23529411764705882,0.2,14
Light_Modulation,142,0,66,0.859375,0.7884615384615384,0.9172932330827068,0.8333333333333334,0.7358351831298557,0.9193548387096774,0.8870967741935484,66
Paired_Doves,216,0,64,0.6126126126126127,0.4950495049504951,0.7131782945736433,0.53125,0.4098360655737705,0.6545508658008657,0.723404255319149,64
Violin_Mode,274,0,397,0.5441941074523398,0.49364791288566245,0.5920826161790017,0.3954659949622166,0.34782608695652173,0.44307005609761946,0.8722222222222222,397
1080Lines,341,0,6,0.7058823529411764,0.375,0.923076923076923,1.0,1.0,1.0,0.5454545454545454,6
Scratchy,558,0,76,0.875,0.8120300751879699,0.9290347980695961,0.8289473684210527,0.7397260273972602,0.9078947368421053,0.9264705882352942,76
Repeating_Blips,1061,0,347,0.8353658536585366,0.8028531679113466,0.8641975308641975,0.7896253602305475,0.7464377201408902,0.8314614501210503,0.8867313915857605,347
Air_Compressor,1361,0,47,0.4742268041237113,0.3434343434343435,0.592,0.48936170212765956,0.34782608695652173,0.6326530612244898,0.46,47
Power_Line,1582,0,56,0.7419354838709677,0.6478806170355466,0.8225806451612904,0.8214285714285714,0.7166604477611941,0.9155223004694831,0.6764705882352942,56
1400Ripples,2428,0,33,0.8051948051948052,0.6909090909090908,0.891566265060241,0.9393939393939394,0.84375,1.0,0.7045454545454546,33
Low_Frequency_Lines,2853,0,1743,0.6153846153846154,0.6002123361120302,0.6300557880055788,0.9982788296041308,0.996060776589758,1.0,0.4447852760736196,1743
Whistle,6299,0,3689,0.9634374165999466,0.9589076504597684,0.9677336847984295,0.9785849823800488,0.9738543134394222,0.983152246570565,0.9487516425755584,3689
Blip,7156,0,2105,0.9770848098275455,0.9723282442748092,0.9815040448865143,0.9824228028503563,0.9765100671140939,0.9878447872837774,0.9718045112781954,2105
No_Glitch,11568,0,402,0.9376498800959232,0.9200968523002421,0.9539558645619253,0.972636815920398,0.9556650246305419,0.9873737373737373,0.9050925925925926,402
Koi_Fish,11950,0,2503,0.9603646452635751,0.9546633709526708,0.9657200002591401,0.9680383539752297,0.9610387001507934,0.9747140913149642,0.9528116397955171,2503
Extremely_Loud,13469,0,3317,0.9850564196401342,0.9820452287903945,0.9878593217845475,0.9737714802532409,0.9682924274933952,0.9790188236308875,0.9966059858068498,3317
Blip_Low_Frequency,13659,0,2763,0.9633507853403142,0.9580882352941177,0.9682278835484334,0.9656170828809265,0.9588550655297916,0.972261774874376,0.9610951008645533,2763
Low_Frequency_Burst,19834,0,2397,0.9832945654472404,0.9794608472400514,0.9868229026338764,0.9699624530663329,0.9627381019772461,0.9765985384627444,0.9969982847341338,2397
Tomte,30403,0,5651,0.9827013803948978,0.9802403328475697,0.9850201189307339,0.9952220845867988,0.9933878024311887,0.9969626585670895,0.9704918032786886,5651
Fast_Scattering,34555,0,18998,0.983805345033905,0.9825354179323239,0.9850683045642274,0.9736814401515949,0.9713688500247484,0.9759558961001263,0.9941419895738163,18998
Scattered_Light,68160,0,4158,0.7186883254896006,0.7063308170030647,0.7306712823176705,0.5692640692640693,0.5536778958601334,0.5845174690450698,0.9744750926307122,4158
